"","id","state","city","lat","long"
"350",350,"CA","Francisco,",36.778261,-119.417932
"351",351,"CA","Francisco,",36.778261,-119.417932
"352",352,"VA","McLean,",37.431573,-78.656894
"353",353,NA,NA,NA,NA
"354",354,"MD","Gaithersburg,",39.045755,-76.641271
"355",355,NA,NA,NA,NA
"356",356,"CA","Sacramento,",36.778261,-119.417932
"357",357,NA,NA,NA,NA
"358",358,"WA","Seattle,",47.751074,-120.740139
"359",359,"MN","Paul,",46.729553,-94.6859
"360",360,"MI","Pleasant,",44.314844,-85.602364
"361",361,"CA","orrance,",36.778261,-119.417932
"362",362,NA,NA,NA,NA
"363",363,NA,NA,NA,NA
"364",364,"CA","Francisco,",36.778261,-119.417932
"365",365,NA,NA,NA,NA
"366",366,NA,NA,NA,NA
"367",367,"MI","Detroit,",44.314844,-85.602364
"368",368,"VA","McLean,",37.431573,-78.656894
"369",369,"NH","Hudson,",43.193852,-71.572395
"370",370,"CA","Francisco,",36.778261,-119.417932
"371",371,"KS","opeka,",39.011902,-98.484246
"372",372,NA,NA,NA,NA
"373",373,NA,NA,NA,NA
"374",374,NA,NA,NA,NA
"375",375,"MA","Boston,",42.407211,-71.382437
"376",376,"MA","Boston,",42.407211,-71.382437
"377",377,"CA","Pasadena,",36.778261,-119.417932
"378",378,NA,NA,NA,NA
"379",379,"NJ","City,",40.058324,-74.405661
"380",380,"PA","Conshohocken,",41.203322,-77.194525
"381",381,"NC","-",35.759573,-79.0193
"382",382,"GA","Atlanta,",32.157435,-82.907123
"383",383,"NY","York,",43.299428,-74.217933
"384",384,"AZ","Phoenix,",34.048928,-111.093731
"385",385,NA,NA,NA,NA
"386",386,"WI","Madison,",43.78444,-88.787868
"387",387,"CA","Roseville,",36.778261,-119.417932
"388",388,"NY","Watervliet,",43.299428,-74.217933
"389",389,"MS","eradata,",32.354668,-89.398528
"390",390,NA,NA,NA,NA
"391",391,"CA","Jose,",36.778261,-119.417932
"392",392,NA,NA,NA,NA
"393",393,"RI","Cranston,",41.580095,-71.477429
"394",394,NA,NA,NA,NA
"395",395,"NJ","Peapack,",40.058324,-74.405661
"396",396,"VA","Richmond,",37.431573,-78.656894
"397",397,"CA","Jose,",36.778261,-119.417932
"398",398,"MA","Boston,",42.407211,-71.382437
"399",399,"WI","Madison,",43.78444,-88.787868
"400",400,NA,NA,NA,NA
"401",401,"NJ","Brunswick,",40.058324,-74.405661
"402",402,"NY","York,",43.299428,-74.217933
"403",403,NA,NA,NA,NA
"404",404,"PA","Philadelphia,",41.203322,-77.194525
"405",405,"NV","Vegas,",38.80261,-116.419389
"406",406,NA,NA,NA,NA
"407",407,"NC","Charlotte,",35.759573,-79.0193
"408",408,"GA","Atlanta,",32.157435,-82.907123
"409",409,"CA","Angeles,",36.778261,-119.417932
"410",410,"IL","Moline,",40.633125,-89.398528
"411",411,"MN","Rochester,",46.729553,-94.6859
"412",412,"OH","Cleveland,",40.417287,-82.907123
"413",413,"PA","McConnellsburg,",41.203322,-77.194525
"414",414,"LA","Lafayette,",31.244823,-92.145024
"415",415,NA,NA,NA,NA
"416",416,"MA","Cambridge,",42.407211,-71.382437
"417",417,"IN","Indianapolis,",40.551217,-85.602364
"418",418,NA,NA,NA,NA
"419",419,"VA","Norfolk,",37.431573,-78.656894
"420",420,"MD","Park,",39.045755,-76.641271
"421",421,NA,NA,NA,NA
"422",422,NA,NA,NA,NA
"423",423,"NY","York,",43.299428,-74.217933
"424",424,NA,NA,NA,NA
"425",425,NA,NA,NA,NA
"426",426,"NY","York,",43.299428,-74.217933
"427",427,"NY","York,",43.299428,-74.217933
"428",428,"FL","Orlando,",27.664827,-81.515754
"429",429,"MN","View,",46.729553,-94.6859
"430",430,NA,NA,NA,NA
"431",431,NA,NA,NA,NA
"432",432,NA,NA,NA,NA
"433",433,NA,NA,NA,NA
"434",434,"LA","Lacombe,",31.244823,-92.145024
"435",435,"VA","Cable,",37.431573,-78.656894
"436",436,"CA","Fresno,",36.778261,-119.417932
"437",437,NA,NA,NA,NA
"438",438,"NY","York,",43.299428,-74.217933
"439",439,"KS","City,",39.011902,-98.484246
"440",440,NA,NA,NA,NA
"441",441,NA,NA,NA,NA
"442",442,"IL","Bloomington,",40.633125,-89.398528
"443",443,NA,NA,NA,NA
"444",444,NA,NA,NA,NA
"445",445,"CO","Boulder,",39.550051,-105.782067
"446",446,"OH","Akron,",40.417287,-82.907123
