"","name","type","document_id"
"501","û Monitoring","OTHER",12
"502","10g/11g Version Control SVN","OTHER",13
"503","Ability","OTHER",13
"504","Analytical","OTHER",13
"505","Apache Wicket","OTHER",13
"506","Application Servers","OTHER",13
"507","Certification","OTHER",13
"508","communication skills","OTHER",13
"509","Databases","OTHER",13
"510","Domain Experience","OTHER",13
"511","experience","OTHER",13
"512","Frameworks","OTHER",13
"513","Good Knowledge in Insurance Domain","OTHER",13
"514","IDE Eclipse","CONSUMER_GOOD",13
"515","Insurance Domain & H Domain","OTHER",13
"516","Insurance Domain Certification","OTHER",13
"517","Java Certification","OTHER",13
"518","Knowledge","OTHER",13
"519","Languages","OTHER",13
"520","Loma Level 1","OTHER",13
"521","OCPJP 6 Certification","OTHER",13
"522","ú","OTHER",13
"523","Open echnology","OTHER",13
"524","PLSQL","OTHER",13
"525","Postgresql","CONSUMER_GOOD",13
"526","Problem solving","OTHER",13
"527","skills","OTHER",13
"528","sqlserver","OTHER",13
"529","Struts","OTHER",13
"530","Swing","OTHER",13
"531","XSL J2EE echnologies JDBC","OTHER",13
"532","11g","OTHER",14
"533","Agile Methodology","OTHER",14
"534","Application development","OTHER",14
"535","community","OTHER",14
"536","Daily Scrum","OTHER",14
"537","data sources","OTHER",14
"538","database updating","OTHER",14
"539","dependency injection","OTHER",14
"540","design documents","OTHER",14
"541","distribution","OTHER",14
"542","Domain Object Model","CONSUMER_GOOD",14
"543","efficiency","OTHER",14
"544","End","OTHER",14
"545","flow charts","OTHER",14
"546","generics","OTHER",14
"547","health system pharmacy relationships","OTHER",14
"548","healthcare supply chain","OTHER",14
"549","help","OTHER",14
"550","information support","OTHER",14
"551","Java 1.7","OTHER",14
"552","JSP","OTHER",14
"553","mapper","OTHER",14
"554","part","OTHER",14
"555","partnerships","OTHER",14
"556","patient care Responsibilities","OTHER",14
"557","pharmacies","OTHER",14
"558","pharmacy","OTHER",14
"559","phases","OTHER",14
"560","product access","OTHER",14
"561","product commercialization","OTHER",14
"562","Quick Build","OTHER",14
"563","SOA architecture","OTHER",14
"564","SOAP request","OTHER",14
"565","SOAP Request Object","OTHER",14
"566","spring Configuration files","OTHER",14
"567","spring framework","OTHER",14
"568","story pointing","OTHER",14
"569","technique","OTHER",14
"570","UDDI","OTHER",14
"571","Use cases","OTHER",14
"572","XML format","OTHER",14
"573","Android","CONSUMER_GOOD",15
"574","application software","CONSUMER_GOOD",15
"575","assistance","OTHER",15
"576","baselines","OTHER",15
"577","beta testing","OTHER",15
"578","bug","OTHER",15
"579","Build system","OTHER",15
"580","C","OTHER",15
"581","ClearQuest","OTHER",15
"582","collaboration","OTHER",15
"583","control system software","CONSUMER_GOOD",15
"584","CPU","OTHER",15
"585","environment","OTHER",15
"586","escalations","OTHER",15
"587","fixes","OTHER",15
"588","MA Project: Firmware development Job Responsibilities","OTHER",15
"589","memory","OTHER",15
"590","patches","OTHER",15
"591","peer reviews","OTHER",15
"592","project documentation","OTHER",15
"593","purposes","OTHER",15
"594","python scripts","OTHER",15
"595","revision","OTHER",15
"596","ROS","OTHER",15
"597","software configuration management tools","OTHER",15
"598","Software Development Process","OTHER",15
"599","software engineering processes","OTHER",15
"600","software features","OTHER",15
"601","software fixes","OTHER",15
"602","software interfaces","OTHER",15
"603","software requirement analysis","OTHER",15
"604","Software requirement review","OTHER",15
"605","systems engineering","OTHER",15
"606","test development","OTHER",15
"607","unit test plans","OTHER",15
"608","automation","OTHER",16
"609","cases","OTHER",16
"610","python script","OTHER",16
"611","test case design","OTHER",16
"612","xml tool","OTHER",16
"613","code collab","OTHER",17
"614","code coverage","OTHER",17
"615","coding standards","OTHER",17
"616","echnical Environment: Python 2.7","OTHER",17
"617","edge cases","OTHER",17
"618","goal","OTHER",17
"619","language","OTHER",17
"620","Linux OS","CONSUMER_GOOD",17
"621","projects delivery","OTHER",17
"622","Providers content correlation","OTHER",17
"623","Python","OTHER",17
"624","Quality Assurance","OTHER",17
"625","rules","OTHER",17
"626","Unit ests","OTHER",17
"627","use cases","OTHER",17
"628","V Program Guide Data","OTHER",17
"629","V. Designed","OTHER",17
"630","VOD Pre-processing","OTHER",17
"631","Advance","OTHER",18
"632","AMU Hack exas Instrument","OTHER",18
"633","Assembly Language","OTHER",18
"634","audio","OTHER",18
"635","Computer Skills","OTHER",18
"636","computers","CONSUMER_GOOD",18
"637","control room","OTHER",18
"638","English","OTHER",18
"639","Javascript","OTHER",18
"640","Language","OTHER",18
"641","maintenance","OTHER",18
"642","matter","OTHER",18
"643","operating system","OTHER",18
"644","place","OTHER",18
"645","reformatting","OTHER",18
"646","situations","OTHER",18
"647","SKILLS","OTHER",18
"648","Student Manager Direct Wage","OTHER",18
"649","use","OTHER",18
"650","variety","OTHER",18
"651","Bug","CONSUMER_GOOD",19
"652","databases","OTHER",19
"653","JIRA","OTHER",19
"654","keyword","OTHER",19
"655","Keywords","OTHER",19
"656","library","OTHER",19
"657","MongoDB","CONSUMER_GOOD",19
"658","patch fixes","OTHER",19
"659","production releases","OTHER",19
"660","REALDoc UI","OTHER",19
"661","Reporting est results","OTHER",19
"662","results","OTHER",19
"663","Robot framework","OTHER",19
"664","scenarios","OTHER",19
"665","Selenium2","OTHER",19
"666","system testing","OTHER",19
"667","UI","OTHER",19
"668","anharmonicities","OTHER",20
"669","association reactions","OTHER",20
"670","characterization","OTHER",20
"671","chemistry","OTHER",20
"672","combustion","OTHER",20
"673","effect","OTHER",20
"674","High-Performance Computing","OTHER",20
"675","kinetics","OTHER",20
"676","master equation","OTHER",20
"677","Python code","OTHER",20
"678","reactions","OTHER",20
"679","solution","OTHER",20
"680","Stephen J. Klippenstein Calculation","OTHER",20
"681","apps development","OTHER",21
"682","celery","OTHER",21
"683","consulting","OTHER",21
"684","django","OTHER",21
"685","Django","OTHER",21
"686","expertise","OTHER",21
"687","facebook","OTHER",21
"688","GIS","OTHER",21
"689","UX","OTHER",21
"690","web application development","OTHER",21
"691","Accomplishments","OTHER",22
"692","CL API","OTHER",22
"693","est","OTHER",22
"694","Narra Systems","OTHER",22
"695","office Skills","OTHER",22
"696","Performance eam","OTHER",22
"697","PYHON","OTHER",22
"698","Responsibilities Customer Facing","OTHER",22
"699","support","OTHER",22
"700","Unix","CONSUMER_GOOD",22
"701","Web Development eam","OTHER",22
"702","CDI","OTHER",23
"703","Engineering","OTHER",23
"704","FORRAN","OTHER",23
"705","GI","OTHER",23
"706","JAVA","OTHER",23
"707","legacy tools","OTHER",23
"708","matplotlib","OTHER",23
"709","NumPy","OTHER",23
"710","operating systems","OTHER",23
"711","portability","OTHER",23
"712","PySide","OTHER",23
"713","source control","OTHER",23
"714","turbo generator","OTHER",23
"715","Visual Basic","OTHER",23
"716","BuildForge","OTHER",24
"717","certificates","OTHER",24
"718","client features","OTHER",24
"719","code changes","OTHER",24
"720","configuration","OTHER",24
"721","Confluence","OTHER",24
"722","Continuous Delivery","OTHER",24
"723","Core Advanced","OTHER",24
"724","Core Advanced JBoss Uplift","OTHER",24
"725","Core Advanced Payroll","OTHER",24
"726","debts","OTHER",24
"727","deployment server OS upgrade","OTHER",24
"728","deployment servers","OTHER",24
"729","deployment software process","OTHER",24
"730","deployment system","OTHER",24
"731","design effort","OTHER",24
"732","duties","OTHER",24
"733","gateway system","OTHER",24
"734","JBoss","OTHER",24
"735","JBoss7","OTHER",24
"736","jobs","OTHER",24
"737","JVMs","OTHER",24
"738","Layer7","OTHER",24
"739","LDAP","OTHER",24
"740","manpower","OTHER",24
"741","mechanism","OTHER",24
"742","MIDDLEWARE ARCHEC","OTHER",24
"743","monitoring tool","OTHER",24
"744","need","OTHER",24
"745","overhead","OTHER",24
"746","party deployment tool","OTHER",24
"747","Performance uning","OTHER",24
"748","procedure","OTHER",24
"749","process","OTHER",24
"750","risk","OTHER",24
"751","SAML","OTHER",24
"752","Save $100K","OTHER",24
"753","scripting","OTHER",24
"754","servers","OTHER",24
"755","ServiceNow Ä Development","OTHER",24
"756","setup standards","OTHER",24
"757","SiteMinder","OTHER",24
"758","Splunk","OTHER",24
"759","Stash Repository","OTHER",24
"760","target servers","OTHER",24
"761","upgrade","OTHER",24
"762","Web Servers","OTHER",24
"763","WebEng","OTHER",24
"764","WebLogic","OTHER",24
"765","wiki","OTHER",24
"766","Apache ActiveMQ","CONSUMER_GOOD",25
"767","Application objects","OTHER",25
"768","Application Server","OTHER",25
"769","BEA WebLogic","OTHER",25
"770","bean wiring","OTHER",25
"771","business requirements","OTHER",25
"772","center","OTHER",25
"773","client server","OTHER",25
"774","client side validations","OTHER",25
"775","complaints","OTHER",25
"776","Content Management Systems","OTHER",25
"777","Contract","OTHER",25
"778","contractor details","OTHER",25
"779","Cross Language","OTHER",25
"780","DAO Patterns","OTHER",25
"781","dashboards","OTHER",25
"782","Data Access Object","OTHER",25
"783","Data ransfer Object","OTHER",25
"784","Dependency Injection","OTHER",25
"785","EAR","OTHER",25
"786","Eclipse 3.4","OTHER",25
"787","enterprise application","OTHER",25
"788","Enterprise Integration Patterns","OTHER",25
"789","Enterprise Portal","OTHER",25
"790","Entity Beans","OTHER",25
"791","est Cases","OTHER",25
"792","est Suites","OTHER",25
"793","exchange","OTHER",25
"794","Expertise","OTHER",25
"795","feature","OTHER",25
"796","fix","OTHER",25
"797","FIX Protocol","OTHER",25
"798","Flex","OTHER",25
"799","flow","OTHER",25
"800","Front End Controller","CONSUMER_GOOD",25
"801","Functions","OTHER",25
"802","Hibernate Dao Support","OTHER",25
"803","Hibernate Resources","OTHER",25
"804","Hierarchy","OTHER",25
"805","IDE","OTHER",25
"806","integration services","OTHER",25
"807","interactivity","OTHER",25
"808","Java collections Framework Classes for Holding","OTHER",25
"809","Java NIO","OTHER",25
"810","JBOSS Application Server","OTHER",25
"811","JDK 1.6","OTHER",25
"812","Jms 1.1","CONSUMER_GOOD",25
"813","JMS queues","OTHER",25
"814","JSF 1.2","OTHER",25
"815","JSR - 286","OTHER",25
"816","JSR286","OTHER",25
"817","JUNI","OTHER",25
"818","JUnit 4.4","CONSUMER_GOOD",25
"819","Life ray","OTHER",25
"820","log file/system information tools","OTHER",25
"821","Log4J","CONSUMER_GOOD",25
"822","Mark Logic Server","OTHER",25
"823","Mercury Quality","OTHER",25
"824","messages processing engine","OTHER",25
"825","Model View Controller","CONSUMER_GOOD",25
"826","MuleESB","OTHER",25
"827","Multithreading","OTHER",25
"828","Object Oriented Design Patterns","OTHER",25
"829","ools","OTHER",25
"830","Oracle 10G","CONSUMER_GOOD",25
"831","persistence classes","OTHER",25
"832","persistence layer","OTHER",25
"833","port","OTHER",25
"834","portal","OTHER",25
"835","portlet","OTHER",25
"836","portlet services","OTHER",25
"837","portlets","OTHER",25
"838","Procedures","OTHER",25
"839","Protocols","OTHER",25
"840","QA","OTHER",25
"841","Rails","CONSUMER_GOOD",25
"842","recommendations","OTHER",25
"843","Replication","OTHER",25
"844","reporting application","OTHER",25
"845","Reporting systems","OTHER",25
"846","requirement documents","OTHER",25
"847","RESFUL echnology","OTHER",25
"848","Restful","OTHER",25
"849","riggers","OTHER",25
"850","Scrum methodology","OTHER",25
"851","SDLC","OTHER",25
"852","Server","OTHER",25
"853","server framework","OTHER",25
"854","service business process","OTHER",25
"855","services","OTHER",25
"856","Session Fa√ß","OTHER",25
"857","Session Facade","OTHER",25
"858","source code","OTHER",25
"859","Spring-ws","OTHER",25
"860","Spring framework","OTHER",25
"861","SQL Navigator","OTHER",25
"862","SQL Navigator Data Bases","OTHER",25
"863","staging environment","OTHER",25
"864","Stateless Session beans","OTHER",25
"865","tags","OTHER",25
"866","tortoise SVN","OTHER",25
"867","UI technologies","OTHER",25
"868","Use","OTHER",25
"869","utility applications","OTHER",25
"870","version control","OTHER",25
"871","Version Control","OTHER",25
"872","web page content","OTHER",25
"873","Web Service","OTHER",25
"874","WebSphere Portal","OTHER",25
"875","WS","OTHER",25
"876","xml development best practices","OTHER",25
"877","attempts","OTHER",26
"878","Automation","OTHER",26
"879","fraud","OTHER",26
"880","Ganglia","CONSUMER_GOOD",26
"881","GPL","OTHER",26
"882","Nagios","CONSUMER_GOOD",26
"883","ool","OTHER",26
"884","PCI network","OTHER",26
"885","Powershell","OTHER",26
"886","scripting solutions","OTHER",26
"887","servers operations","OTHER",26
"888","Use scripting","OTHER",26
"889","Wireshark","CONSUMER_GOOD",26
"890","lot","OTHER",27
"891","MIN","OTHER",27
"892","WarningCenter","OTHER",27
